Empresa,Título,Resumo
Juan Harold Sosa Arnao,Análise de viabilidade técnica e econômica da implantação de uma caldeira de bagaço que integre um ciclo rankine regenerativo com reaquecimento em uma usina sucroalcooleira,"As caldeiras de bagaço de cana usadas no setor sucroalcooleiro brasileiro trabalham com parâmetros até 400 t/h; 10MPa e 540oC em Ciclo Rankine, com tímidas aplicações em Ciclo Rankine Regenerativo, apresentando um desenvolvimento menor do que as caldeiras de carvão, cujos parâmetros de operação podem atingir 2870 t/h; 27,2MPa e 600oC, ou maiores, operando em Ciclo Rankine Regenerativo com Reaquecimento de vapor. Portanto, existem ainda oportunidades para melhorar as condições de operação das caldeiras de bagaço de cana de açúcar com tecnologias advindas das caldeiras de carvão permitindo maximizar a exportação de energia das usinas de açúcar e álcool à malha nacional. Em estudo prévio realizado na Fase I foi demonstrado que as caldeiras de bagaço podem ser melhoradas para operar com reaquecimento de vapor e a análise econômica do projeto de mudança para Ciclo Rankine Regenerativo com reaquecimento de vapor mostrou-se vantajoso quando comparado com sistemas convencionais. Deste modo, na fase II do projeto objetiva-se o desenvolvimento do projeto para fabricação da caldeira de bagaço de cana que opere em um Ciclo Rankine Regenerativo com Reaquecimento de vapor utilizando como modelo uma caldeira que opere com uma vazão de vapor de: 200 t/h; e as configurações: i) Ciclo Rankine; ii) Ciclo Rankine Regenerativo e iii) Ciclo Rankine Regenerativo com Reaquecimento de vapor. Os parâmetros de pressão e temperatura do vapor: a) 6,7MPa e 520oC; b) 10 MPa e 530oC e c) 12MPa e 540oC serão simulados visando obter o melhor custo/benefício. Para isso será realizada a análise termodinâmica (primeira e segunda lei) e análise econômica de cada configuração. A Cargill - Unidade Cevasa, localizada em Patrocínio Paulista (SP) será sede do projeto, pois tem demonstrado interesse em implantar uma nova caldeira na vazão de vapor especificada acima. Assim, este projeto ajudará à usina a definir os parâmetros de pressão e temperatura do vapor, assim como as características do seu ciclo de geração de energia. Na primeira etapa deste projeto será realizada a caracterização do bagaço de cana de açúcar obtido do difusor da usina Cevasa durante o período de safra (março a dezembro). Esta caracterização compreenderá as seguintes análises: i) imediata (umidade, cinzas, carbono fixo e volátil), ii) elementar (carbono, hidrogênio, nitrogênio, enxofre, oxigênio e cloro) e iii) determinação do Poder calorífico superior, e o cálculo do poder calorífico inferior. Estes resultados serão usados no cálculo térmico da caldeira e do sistema de geração de energia. Para garantir o sucesso deste projeto, a empresa Inka's Boiler planeja desenvolver o projeto do sistema de reaquecimento do vapor na caldeira de bagaço de cana sob a orientação da empresa de engenharia Italiana Engineering Service for energy SRL (ESE), especialistas em caldeiras de carvão supercríticas e ultra supercríticas. O contato junto à empresa ESE foi realizado durante uma visita às centrais térmicas, que operam com caldeiras ultrasupercríticas em Itália, como parte das atividades realizadas na fase I do projeto PIPE. Por outro lado, a estratégia de difusão do """"novo"""" produto será conduzida através do site da empresa Inka's Boiler, visitas técnicas a diferentes clientes (no Brasil e no exterior: Colômbia, Peru e Equador) e organização de Workshop cujos convidados serão: Diretores, Gerentes e responsáveis da toma de decisões nas usinas de açúcar e álcool no Brasil e no exterior, além do setor de papel e celulose. A data de realização do evento deverá acontecer durante o Fenasucro (Sertãozinho, SP). Com a difusão dos resultados do projeto espera-se atrair o interesse de investimentos para fase III do projeto. (AU)"
Agrobee Soluções em Polinização e Sustentabilidade Ltda,Inteligência artificial para otimização de processos pré-colheita e mensuração da produtividade em lavouras de café,"A indústria e o mercado de produção de alimento estão passando por uma transformação. As atividades agrícolas vêm operando de maneira diferente do passado, notadamente devido o avanço tecnológico, científico e social atualmente atingido. Sensores cada vez mais precisos, inteligência artificial, plataformas digitais, manipulação gênica, novos fármacos, qualificação profissional. Todos esses avanços farão com que esse setor se torne gradativamente mais lucrativo, seguro, eficiente e sustentável. Do avanço biotecnológico à alta conectividade, as novas ferramentas digitais modificam e otimizam praticamente todas as etapas do ciclo produtivo: são capazes de tomar decisões mais precisas, monitorar initerruptamente e obter dados em tempo real, trazendo maior produtividade, agilidade e segurança aliada à redução dos custos e sustentabilidade. No setor agrícola esse período atual tem sido chamado de agricultura 4.0. Dentre os vários produtos comercializados pelo Brasil, o café tem notório destaque. O grão de café é uma das commodities mais importante do mercado agrícola mundial e o Brasil é o principal produtor e exportador de grãos de café no mundo. No país são cerca de 2,16 milhões de hectares plantados. Esse setor responde por quase 10% das exportações agropecuárias nacional e movimenta em torno de R$ 20 bilhões por ano. A cafeicultura brasileira tem enfrentado diversas dificuldades, e dentre algumas etapas de pré-colheita do café, um momento é notoriamente importante: quando os frutos estão no ponto de colheita. Saber o momento correto de colheita minimiza perdas de qualidade na bebida, garantindo ao cafeicultor uma melhor comercialização do café colhido. Atualmente, para avaliar esse momento os cafeicultores necessitam realizar a derriça manual de algumas plantas e quantificar a proporção de frutos verdes, demandando esforço e custos. Outro ponto, a estimativa de safra é também uma atividade feita na pré-colheita e importante para o cafeicultor se planejar. Atualmente, semelhante à avaliação para momento de colheita, a estimativa de safra também é realizada pela derriça de plantas, novamente envolvendo esforços e custos; e como ocorre a perda de chumbinhos antes da fase de maturação, a estimativa pode ser subestimada. Portanto, o intuito desse projeto é desenvolver uma ferramenta digital para auxiliar esses três processos pré-colheita: (i) estimativa de safra na fase de chumbinhos, (ii) estimativa de safra na fase de frutos, e (iii) avaliação para momento de colheita. (AU)"
Avita Produtos Químicos Farmacêuticos Ltda,Desenvolvimento de uma plataforma de síntese e certificação analítica de nitrosaminas de interesse farmacêutico,"A identificação e quantificação de impurezas de processo de produção, ou ainda oriundos da estabilidade dos fármacos e medicamentos compreendem uma etapa extremamente importante do processo de pesquisa e desenvolvimento de medicamentos. Neste contexto, um dos fatores que impactou bastante os laboratórios farmacêuticos nos últimos anos foi a necessidade de atendimento a RDC No 53/2015 da Anvisa, que regulamenta procedimentos para notificação, identificação e qualificação de impurezas e produtos de degradação de fármacos. Sabe-se que a síntese de uma impureza de processo ou produto de degradação pode ser uma atividade bastante complexa, que demanda tempo e, principalmente, de uma equipe de químicos sintéticos experiente e altamente qualificada, que a maioria dos laboratórios farmacêuticos não possui. Assim, as indústrias nacionais buscam majoritariamente no mercado internacional, padrões analíticos de empresas especializadas na preparação dos referidos compostos. Contudo, além de normalmente apresentarem custo elevado, o processo de aquisição por importação é demorado e sofre com frequentes atrasos, fatos que podem atrapalhar o cumprimento de prazos para documentação analítica e de registro de produtos junto a Anvisa. Considerando esse cenário, bem como ao pequeno número de empresas nacionais que se dedicam a síntese sob demanda, a Avita identificou um claro nicho de mercado ainda pouco competitivo em nível nacional e continental. A forte demanda altamente especializada por padrões farmacêuticos, inclusive, trouxe a necessidade de adaptação ao modelo de negócios da empresa, que tinha como foco inicial apenas a síntese de Ingredientes Farmacêuticos Ativos. Norteada por este novo modelo de negócios, a empresa desenvolveu, nos últimos anos, projetos de síntese de impurezas e produtos de degradação em parceria com grandes empresas farmacêuticas nacionais. Com a manutenção do foco na inovação, bem como pela busca constante de redução dos impactos ambientais dos processos utilizados na empresa, o novo modelo de negócios pode ser definido como de """"Cauda Longa"""", pois concentra-se em oferecer ao mercado farmacêutico uma linha de produtos de nicho, de alto valor agregado, sendo que se pretende manter produtos em estoque, visando o pronto atendimento ao mercado. Para tanto, escolhemos as nitrosaminas como ponto de partida, pois recebemos diversas consultas de laboratórios farmacêuticos sobre a possibilidade de fornecimento destes compostos, visando o atendimento da RDC No 283/2019 e da nota informativa No 1/20 da Anvisa, a qual recomenda o controle e eliminação de nitrosaminas potencialmente carcinogênicas em medicamentos. Neste contexto, a presente proposta visa o desenvolvimento de um processo inovador de síntese de nitrosaminas de interesse farmacêutico em fluxo contínuo, com vistas a oferecer ao mercado farmacêutico opção de compra local destes compostos na forma de Substâncias Químicas de Referência Caracterizadas (SQC), com preço competitivo e altíssima pureza, oriunda de um processo moderno que minimiza o uso de insumos químicos tóxicos. Visando o oferecimento de serviços diferenciados ao mercado, incluindo o setor de agrociência, os estudos analíticos bem como desenvolvimento de métodos serão realizados em parceria com a Lychnoflora, uma empresa que conta com know-how, inserção no mercado e um moderno parque de equipamentos analíticos para P&D na área de química analítica. (AU)"
In Situ Terapia Celular Ltda,Validação técnica de constructo reconstrutor gengival bioimpresso à base de células mesenquimais ou vesículas extracelulares em scaffold de ácido hialurônico,"Recessão gengival é uma condição caracterizada pela exposição oral da superfície da raiz devido a um deslocamento da margem gengival apical à junção cemento-esmalte. As causas podem estar relacionadas a fatores anatômicos gengivais do indivíduo, trauma crônico, periodontite e alinhamento dentário. As consequências mais comuns da recessão gengival são a deterioração da estética dentária, bem como a hipersensibilidade da dentina cervical bucal. Atualmente, um dos procedimentos mais utilizados para o recobrimento radicular é o que é utilizado enxerto do tecido conjuntivo mais retalho coronariano avançado (CTG + CAF). Porém, cirurgias que envolvem a coleta de enxerto são demoradas e podem ter uma alta morbidade, devido à necessidade de um segundo local cirúrgico, além de aumentar o desconforto do paciente, sangramento pós-cirúrgico e suprimento limitado de tecido doador. Por esses motivos, são propostas técnicas cirúrgicas alternativas ao CTG + CAF para obter redução das recessões. O uso da terapia celular para a regeneração de tecidos orais, vem sendo cada vez mais explorado à medida que estão sendo obtidos resultados promissores na odontologia. Foi demonstrado que células mesenquimais quando inseridas em membranas de ácido polilático com ácido poliglicólico auxiliam na cobertura média da raiz. Além disso, sabe-se que parte do efeito da CMs é devido à liberação de estruturas celulares denominadas vesículas extracelulares (VEs). Uma vez que VEs potencializam a migração, proliferação celular e a angiogênese, verificou-se que as VEs também podem ser importantes para a regeneração de tecidos orais, como os periodontais, possivelmente por aumentarem a migração e proliferação de células do ligamento periodontal. É importante ressaltar que quando levamos em consideração terapia com VEs, a estratégia de administração deve ser considerada e o uso de um scaffold, que não prejudique o desempenho celular, é imprescindível. O ácido hialurônico (AH) é um polissacarídeo natural biodegradável, biocompatível, não imunogênico e que, por isso, assume várias funções na área médica e pode ser empregado como scaffold celular1. Assim, para o tratamento da recessão gengival é relevante o desenvolvimento de um produto que junte um bom scaffold como o ácido hialurônico, à terapia celular e seus subprodutos e que seja eficiente na reconstrução, reparação tecidual e na promoção da multiplicação celular e da angiogênese, e ainda, que não seja de origem xenogênica. Ademais, para a eficiente aplicação da terapia celular e de seus subprodutos visando à bioengenharia de tecidos, é necessário encontrar um sistema que seja escalonável, rápido e eficiente para a fabricação in vitro de arcabouços celulares. Nesse contexto, a bioimpressão 3D é uma ótima ferramenta. Por tudo isso, propomos a criação de um produto a partir da bioimpressão 3D que auxilie a proliferação celular do tecido gengival, promova a neovascularização e que seja derivado da terapia celular é interessante. (AU)"
Onkos Diagnósticos Moleculares Ltda. - ME,Validação de microRNAs como biomarcadores para o diagnóstico de carcinoma medular de tireóide,"O carcinoma medular de tireoide (CMT), embora mais raro que outros carcinomas diferenciados da glândula (cerca de 3-4% dos casos), apresenta um comportamento mais agressivo, com taxa de mortalidade acima de 50% em casos diagnosticados tardiamente e com maiores chances de recidiva e metástases mesmo após a cirurgia de tireoidectomia total. Pode ser dividido em duas classes de origem: a forma esporádica (75% dos casos) e a forma hereditária (25%), sendo a forma esporádica usualmente de pior prognóstico, devido principalmente ao seu diagnóstico tardio. O diagnóstico de CMT normalmente deriva da identificação de um nódulo tireoidiano por meio de exames de imagem da região cervical, seguido pelo exame de análise citológica da PAAF. Entretanto, tais exames detectam menos de 50% dos casos de CMT na fase pré-operatória e apesar da existência de exames complementares (dosagem de calcitonina e CEA), eles não são realizados rotineiramente, além de apresentarem limitações que fazem sua utilização ser controversa entre pesquisadores e médicos. Nesse contexto, torna-se imprescindível a busca de novas metodologias diagnósticas, sendo visível a importância e necessidade de um diagnóstico preciso, confiável e precoce para os pacientes com CMT. A utilização de exames moleculares tem se mostrado uma ferramenta oportuna para a solução dessa problemática. O uso do microRNA-375 como biomarcador de CMT vem sendo estudado por diversos autores e apesar de promissor, o seu uso ainda não é bem definido, visto que nenhum autor estabelece ou sugere um cut-off que poderia ser aplicado ao diagnóstico. Dados preliminares produzidos pela Onkos, sugerem que a avaliação da expressão normalizada do miR-375, possa ser um excelente parâmetro diagnóstico na identificação precoce de CMT, no entanto, um estudo mais focado e abrangente precisa ser realizado. Assim, o objetivo do presente projeto é validar o uso do miR-375 como biomarcador de CMT a partir da definição de threshold baseado em sua expressão e verificar a presença das mutações M918T e C634Y/R no gene RET para desenvolvimento de uma ferramenta diagnóstica de CMT precoce, com elevada sensibilidade e especificidade. Para isso, serão utilizadas 240 amostras de lâminas de PAAF coletadas após 2015, divididas em três grupos (CMT, benignas e malignas não-CMT) para a análise dos biomarcadores por qPCR. Espera-se ao final deste projeto, a implementação e comercialização de um exame molecular simples, preciso e robusto, para auxiliar as tomadas de decisões médicas acerca do CMT de forma precoce para beneficiar tanto os pacientes quanto o sistema de saúde. A experiência da Onkos na área de diagnósticos moleculares voltada para resoluções em tireoide associada a expertise do grupo de pesquisadores envolvidos no projeto são fatores que contribuirão para o sucesso do desenvolvimento deste produto. (AU)"
MRA Indústria de Equipamentos Eletrônicos Ltda,Desenvolvimento de um detector opticamente estimulável para dosimetrias pessoal e médica,"O principal meio de controle das exposições às radiações ionizantes nas áreas industrial e médica é a monitoração individual dos trabalhadores e a vigilância dos níveis de radiação nas áreas de trabalho por meio da utilização de detectores de radiação, os dosímetros. Os dosímetros mais utilizados na monitoração individual são os que empregam o princípio da termoluminescência (TL). No entanto, os dosímetros de luminescência oticamente estimulável (LOE) vêm rapidamente ganhando espaço no mercado mundial e substituindo, em alguns casos, os dosímetros TL, por conta de várias vantagens.Na Fase 1 do projeto, as investigações concentraram-se na verificação da viabilidade de desenvolver um detector de radiação ionizante baseado na LOE a partir do óxido de magnésio, como prova de princípio, e consistiu de várias etapas: síntese; caracterização das principais propriedades dosimétricas, luminescentes e físicas do material; e o desenvolvimento de uma técnica para o encapsulamento do material policristalino numa matriz polimérica. Com os resultados obtidos até agora foi possível demonstrar, inequivocamente, a grande potencialidade do novo material como um futuro dosimetro LOE.Na Fase 2, além de prosseguirmos com as investigações iniciadas na Fase 1, serão enfrentados vários desafios tecnológicos que requerem atenção. Por exemplo: i) é interessante aumentar ainda mais a sensibilidade do detector e/ou do leitor; ii) aprimorar o método de síntese, e com isso ter uma maior reprodutibilidade entre amostras sintetizadas; iii) aumentar a automação do processo de deposição da barbotina no substrato e com isso obter maior homogeneidade da deposição do filme; iv) investigar protocolos de tratamento térmico que otimizem a sensibilidade do dosímetro. E por fim, realizar a caracterização completa e rigorosa do detector/dosímetro, medindo as propriedades: dependência angular, dependência para várias energias, teste de resistência à umidade, estabilidade térmica, decaimento do sinal, limites superior e inferior de dose. Com esse projeto pretende-se desenvolver, e em seguida industrializar um produto típico de uso compulsório para um grande número de usuários diretos - instituições prestadoras de serviços de monitoração radiológica e cerca de 160.000 usuários indiretos - trabalhadores expostos a radiações ionizantes. A pesquisas será essencial para garantir a inserção do produto no mercado. Sobretudo, a pesquisa será responsável pelo aprimoramento das características tecnológicas do dosímetro, e com isso, garantir a sucesso comercial da empresa no ramo da dosimetria LOE. Como a equipe e as instituições envolvidas no projeto mantém vários convênios científicos, nacionais e Internacionais (CIDRA &HCFMRP&CNEN, HCFMRP&IRD&IAEA, etc.), visa-se, inclusive, a formação de recursos humanos, de forma que universidades, hospitais, clínicas radiológicas, empresas de radioproteção, serão beneficiadas com aperfeiçoamento a níveis tecnológico e acadêmico.Por fim, pretende-se que a tecnologia desenvolvida forneça ao mercado um produto final com bom padrão de qualidade, melhor do que o atual, e que, com o aumento da capacidade instalada e a otimização do processo de produção, possa-se não apenas satisfazer à demanda já existente, como atender também o mercado latino-americano, com qualidade e preço competitivos. Espera-se, também, que a produção desses dosímetros tenha outro impacto positivo na sociedade, devido à disponibilidade no mercado nacional e fornecimento a um preço competitivo, que será um incentivo ao controle das condições de trabalho dos locais e pessoas que utilizam radiações, para além do regulamento em normas. Outro mercado importante também é a pesquisa acadêmica e aplicada que poderá utilizar-se desses dosímetros em seus projetos, evitando-se o gasto com materiais importados. (AU)"
Sthenos Inovações em Saúde Ltda,Desenvolvimento de produtos fitoterápicos a base de curcuminóides como anti-inflamatórios para aplicações na área veterinária,"No Brasil, assim como em vários países ao redor do mundo, o mercado veterinário cresce a cada ano, bem como o apelo a produtos naturais e sustentáveis como os fitoterápicos. Apenas 1% do mercado de fitoterápicos no Brasil é voltado ao segmento veterinário, porém o setor cresce em torno de 25% ao ano, superando qualquer outro. Este projeto se encaixa dentro deste ramo, propondo os curcuminoides, ativos extraídos da planta popularmente conhecida como açafrão da terra, ou Curcuma longa L, como solução fitoterápica. Os curcuminóides possuem diversas propriedades terapêuticas comprovadas na literatura científica, e, além disso, têm grande potencial comercial como anti-inflamatório para animais, incluindo linhas pet, portes médio e grande. Apesar deste potencial, há uma limitação a ser superada: a solubilidade dos curcuninóides. Este é um fator determinante para sua biodisponibilidade quando administrada oralmente, isto porque os curcuminoides pertencem à classe II do Sistema de Classificação Biofarmacêutica, ou seja, baixa solubilidade e alta permeabilidade oral. De acordo com a revisão científica, dispersão sólida (DS) é um conceito adequado para solucionar os problemas da curcumina e demais curcuminoides. Há alguns trabalhos publicados que tiveram sucesso em aumentar a solubilidade do composto, porém a carga de ativo era muito baixa, limitando a sua utilização em produtos farmacêutico-veterinários. O trabalho tem como objetivo desenvolver dispersões sólidas microparticuladas de curcumina em carreadores lipídicos pelo processo de spray congealing, o qual dispensaria o uso das cargas inertes por ser operado em baixas temperaturas (0 até 15°C), produzindo partículas altamente carregadas de curcumina. Para tanto, propõe-se nesta Fase 1 do projeto PIPE/FAPESP a investigação da viabilidade técnica de obtenção de micropartículas de dispersões sólidas de curcuminóides com alto carregamento deste ativo e a avaliação de: 1) aumento de solubilidade, 2) taxa de dissolução 3) estabilidade, 4) atividade anti-inflamatória in vitro; e 5) custos efetivos do processo. (AU)"
Innolution Sistemas de Informática Ltda,Portal de Imagem Radioterápico (P.I.R),"Diversas são as dificuldades do planejamento radioterápico (Câncer) no nosso país, pois poucos são os hospitais que possuem soluções mesmo completas para o planejamento radioterápico. O próprio posicionamento das regiões no momento do tratamento é muitas vezes realizado de maneira artesanal. Após o posicionamento com ferramentas de planejamento e contornos é necessário a realização de validação periódica do posicionamento do paciente na maca de tratamento do LINAC (Acelerador Linear). Essa ação é importante para manter a Segurança e Qualidade do processo de tratamento radioterápico, pois o paciente durante o tratamento pode ter mudanças corpóreas como emagrecimento, inchaço, movimentos peristálticos que podem alterar o correto posicionamento no momento da sessão radioterápica. Recentemente o Ministério da Saúde, por meio da RDC de N°20 exige no item 4.29 que é necessário: """"Filme de verificação: imagem radiográfica obtida em equipamento de telerapia com a finalidade de verificação do correto posicionamento do campo de radiação planejado em relação à anatomia do paciente. Também chamado de filme portal"""". Para radioterapia externa (teleterapia) semanalmente é a periodicidade correta para fazer o portal segundo a RDC. Assim sendo, faz-se necessário a construção de uma solução para o aumento de precisão e aperfeiçoamento do processo de tratamento de radioterapia em hospitais públicos e privados do Brasil, criando uma alternativa 100% nacional de produto com prestação de serviços de suporte técnico local e custo com a realidade brasileira para sistemas dessa natureza. (AU)"
Eco Biotech Tecnologia em Manutenção Ltda. - ME,Microrganismos aplicados em processos alternativos para tratamento de efluentes oleosos,"A deterioração dos recursos hídricos gerada pelo aumento da população e consequente impacto resultante da aglomeração nas cidades, torna necessária a reutilização das águas residuárias, industriais ou domésticas, o que motiva a pesquisa por novas e melhores alternativas tecnológicas para o tratamento e reaproveitamento de efluentes. Nesse sentido, a Ecobiotech desenvolveu um equipamento automatizado para tratamento e monitoramento de esgotos e caixas de gordura, sem a necessidade de intervenção humana, utilizado em hotéis, restaurantes, shopping centers, entre outros. As soluções microbiológicas para tratamento da matéria orgânica de caixas de gordura existentes no mercado não são capazes de atender completamente às necessidades dos clientes, devido à baixa eficiência, custo elevado e falta de especificidade com relação às diferentes situações encontradas. Assim, a pesquisa visa definir a composição adequada de insumos biotecnológicos para serem aplicados em nosso equipamento que sejam superiores em eficiência aos comerciais, com o intuito de realizar o tratamento e monitoramento de poluentes hídricos despejados pelos clientes. Para isso, estão sendo realizados testes a fim de encontrar potenciais microrganismos capazes de degradar a matéria orgânica das redes e caixas de gordura para a futura produção em maior escala da formulação desenvolvida. Na Fase 1 do projeto Pipe foram isolados nove microrganismos, que exibiram atividade em amido e gordura, principais componentes orgânicos dos efluentes. Ainda, pools destes isolados se mostraram superiores na atividade de emulsificação em comparação com um produto comercial. Assim, experimentos em escala laboratorial realizados na Fase 1 do Pipe demonstraram a viabilidade de desenvolvimento de um produto biológico de marca própria. Na Fase 2 do Projeto, será realizado um estudo dirigido a obter aumento significativo dos rendimentos da produção dos biológicos, com experimentos em biorreator. Com o desenvolvimento de um produto para utilizar nas máquinas da empresa teremos maior eficiência operacional e, consequentemente, redução nos custos repassados aos clientes. (AU)"
Living Out Laboratório de Testes Celulares In Vitro Ltda,Desenvolvimento de uma plataforma de cultivo tridimensional baseada em células tumorais derivados de pacientes para o estabelecimento de um modelo de seleção personalizada de fármacos,"O tratamento do câncer com quimioterápicos é uma abordagem dispendiosa e o paciente pode sofrer com efeitos colaterais de um tratamento que, após meses, demonstra-se ineficaz. Isso acontece porque cada paciente é único, com um perfil genético único, o que resulta em respostas diferentes aos tratamentos de referência. A prática da oncologia personalizada dedica-se em encontrar o tratamento mais apropriado para cada paciente de forma individual. A predição da resposta a um determinado tratamento baseado em dados do genoma do paciente ou de mutações pontuais do tumor abriram novos caminhos para que o oncologista pudesse decidir pelo melhor tratamento. No entanto, essas predições não necessariamente confirmam a eficácia da terapia além de serem insuficientes para indicar uma opção efetiva em pacientes com câncer avançado que falharam nos tratamentos de primeira, segunda e terceira linha. Nesse contexto, ensaios funcionais utilizando organoides tumorais derivadas de pacientes (PDOs) emergem como uma potencial plataforma individualizada de seleção de fármacos, em sinergia com os testes farmacogenômicos. Os PDOs são obtidos através do cultivo em sistemas  tridimensionais (3D) de células tumorais isoladas de tecido de biópsia ou ressecção e são capazes de recapitular as características do tumor original do paciente. Portanto, a resposta dos PDOs aos fármacos testados pode possibilitar a dedução prévia de como o paciente irá responder aos tratamentos. O objetivo do presente projeto é desenvolver uma plataforma de cultivo de PDOs de tumores de pâncreas, colorretal e pulmão. Para isso, iremos selecionar um método eficiente de processamento das amostras de tecidos tumorais através de diferentes técnicas de dissociação e isolamento; estabelecer condições adequadas de cultivo 3D de PDOs utilizando meios de cultura e suplementos específicos para cada tipo de tumor  e avaliar a aplicabilidade dos modelos gerados testando fármacos de referência. Espera-se ao final do projeto PIPE fase 1, a geração de modelos de PDOs (produto mínimo viável) para cada tipo de tumor que possam ser validados na fase 2. Uma vez validados os modelos, a empresa atuará na oferecimento de um serviço de seleção personalizado de fármacos para pacientes com câncer de pâncreas, colorretal e pulmão por meio de testes funcionais utilizando organoides de células tumorais do próprio paciente. Além dos dados moleculares provenientes do sequenciamento oferecido por outras empresas, o oncologista passará a contar também com informações prévias a respeito da resposta do tumor daquele paciente aos fármacos testados. Dessa forma, aumentam-se as chances do tratamento escolhido pelo oncologista ser eficaz para o paciente. A melhora da qualidade de vida dos pacientes a medida que eles vão sendo submetidos a seções de quimioterapia tem um valor intangível. Além disso, a maior eficiência no tratamento e menor tempo de internação do paciente resulta em uma economia considerável para os sistemas de saúde de um modo geral. Como consequência, maiores investimentos podem ser realizados em outros setores, trazendo um benefício não só para pacientes com câncer, mas para a população em geral. (AU)"
Decoy Tecnologia em Controle de Pragas S/A,Controle biológico do parasita Varroa destructor em colônias de Apis mellifera,"A apicultura é um setor importante na economia mundial, tendo gerado uma renda de aproximadamente 730 milhões de dólares nos EUA em 2018 de acordo com o United States Department of Agriculture (USDA). Desse valor, US$302 milhões (41%) se referem aos serviços de polinização, US$333 milhões (46%) resultam da comercialização de mel e US$ 95 milhões (13%) se referem a outros produtos, como cera e própolis. Entretanto, as populações de Apis mellifera vêm sendo afetadas nos últimos anos como consequência de um fenômeno mundial que tem levado à perda de ninhos. A Síndrome de Colapso das Colônias, ou, em inglês, """"Colony Collapse Disorder (CCD)"""", como foi denominado o fenômeno, atingiu os EUA por volta de 2006 e se caracteriza pela diminuição drástica do número de operárias da colônia. Infestações pelo ácaro Varroa destructor parecem ter um papel importante nos colapsos de colônias de A. mellifera observados recentemente, sobretudo na América do Norte e Europa, sendo uma das maiores ameaças à apicultura atual. Diante dos desafios encontrados no combate a V. destructor, principalmente com relação à resistência desenvolvida pelo ácaro aos compostos químicos utilizados tradicionalmente, o uso de agentes biológicos se tornou uma alternativa bastante promissora. Nesse contexto, propomos o uso do fungo Lecanicillium lecanii como uma alternativa de tratamento. O produto final a ser desenvolvido destina-se primeiramente a apicultores dos Estados Unidos da América, um dos países mais acometidos pelas infestações por V. destructor, visando oferecê-los uma forma eficiente e não tóxica de controle do ácaro em colônias de A. mellifera. O produto consiste em uma formulação contendo esporos do fungo em óleo emulsionável ou em pó, que seja, ao mesmo tempo, letal para os ácaros e inócuo para as abelhas. Durante o desenvolvimento do projeto será necessário (1) determinar a eficácia em campo de conídios e blastosporos do fungo contra Varroa destructor; (2) selecionar a formulação mais adequada para armazenamento, conservação e distribuição comercial dos esporos de L. lecanii; (3) comprovar a segurança do formulado para Apis mellifera e (4) selecionar o modo de aplicação mais adequado nas colônias de A. mellifera em campo. Esperamos, ao fim do desenvolvimento do projeto, obter um produto com formulação adequada e forma de aplicação condizente com a realidade dos apicultores, que seja eficaz no controle do ácaro sem afetar as abelhas e sem contaminar produtos apícolas ou o ambiente. Atualmente não há opções comerciais específicas para esse tipo de controle biológico de V. destructor, o que permite que a empresa explore um mercado novo, de controle sustentável e eficaz do ácaro em colônias de A. mellifera. A oferta de controle biológico a base de fungos aos apicultores pode aumentar o potencial de polinização e de produção de mel, cera e própolis, possibilitando, ainda, aumento dos lucros. (AU)"
